shardName,appName,streamGUID,streamOffset,timestamp,remoteAddrAnon,userAgent,method,path,canonicalPath,hostname,referrer,status,requestBodyLength,requestLength,respBodyLength,respLength,requestTime,requestTTFB,responseFlags,requestId,workspaceId,instanceId,replicaId,date,contentType,internalReq
az-eastus2,apiproxy,7927d182-5f91-4ed7-a3a5-4a7fab504691,94048810985,2021-05-14T19:41:47.986+0000,52.167.226.x,"{""agentMajorVersion"":""2"",""agentMinorVersion"":""25"",""deviceClass"":""Other"",""operatingSystemMajorVersion"":null,""operatingSystemClass"":""Other"",""redactedUserAgent"":""[REDACTED]"",""agentPatch"":null,""operatingSystemMinorVersion"":null,""operatingSystemPatch"":null,""agentClass"":""Python Requests""}",POST,/api/2.0/dbfs/put,/api/2.0/dbfs/put,eastus2.azuredatabricks.net,[REDACTED],429,14798,null,238,null,17,17,null,b9fa6244-c264-4f54-a458-84cd1eb024a6,8452665894480244,apiproxy-7d97d9f54b-wlzdn,null,2021-05-14,application/json,false
az-eastus2,apiproxy,d2d87140-7386-4c66-a78f-875148729407,49957989694,2021-05-14T19:41:48.046+0000,52.167.226.x,"{""agentMajorVersion"":""2"",""agentMinorVersion"":""25"",""deviceClass"":""Other"",""operatingSystemMajorVersion"":null,""operatingSystemClass"":""Other"",""redactedUserAgent"":""[REDACTED]"",""agentPatch"":null,""operatingSystemMinorVersion"":null,""operatingSystemPatch"":null,""agentClass"":""Python Requests""}",POST,/api/2.0/dbfs/put,/api/2.0/dbfs/put,eastus2.azuredatabricks.net,[REDACTED],429,7274,null,238,null,14,13,null,3a2a0b91-dbe1-4cb5-8450-4c2842ce2554,8452665894480244,apiproxy-7d97d9f54b-hdzkf,null,2021-05-14,application/json,false
az-eastus2,apiproxy,25a4d2a0-b8cd-4aa2-9524-bea5b7c58c0e,92113838129,2021-05-14T19:41:48.199+0000,52.167.226.x,"{""agentMajorVersion"":""2"",""agentMinorVersion"":""25"",""deviceClass"":""Other"",""operatingSystemMajorVersion"":null,""operatingSystemClass"":""Other"",""redactedUserAgent"":""[REDACTED]"",""agentPatch"":null,""operatingSystemMinorVersion"":null,""operatingSystemPatch"":null,""agentClass"":""Python Requests""}",POST,/api/2.0/dbfs/put,/api/2.0/dbfs/put,eastus2.azuredatabricks.net,[REDACTED],429,7242,null,238,null,14,14,null,422eb495-d630-4c37-adb9-a40cfbc98255,8452665894480244,apiproxy-7d97d9f54b-vf6xv,null,2021-05-14,application/json,false
az-eastus2,apiproxy,25a4d2a0-b8cd-4aa2-9524-bea5b7c58c0e,92113845256,2021-05-14T19:41:48.233+0000,52.167.226.x,"{""agentMajorVersion"":""2"",""agentMinorVersion"":""25"",""deviceClass"":""Other"",""operatingSystemMajorVersion"":null,""operatingSystemClass"":""Other"",""redactedUserAgent"":""[REDACTED]"",""agentPatch"":null,""operatingSystemMinorVersion"":null,""operatingSystemPatch"":null,""agentClass"":""Python Requests""}",POST,/api/2.0/dbfs/put,/api/2.0/dbfs/put,eastus2.azuredatabricks.net,[REDACTED],429,21630,null,238,null,12,12,null,6c608dfb-46a5-409d-b306-67731d80c513,8452665894480244,apiproxy-7d97d9f54b-vf6xv,null,2021-05-14,application/json,false
az-eastus2,apiproxy,07b921c6-d380-4ba3-8988-2d72420dab0b,90232504453,2021-05-14T19:41:48.308+0000,52.167.226.x,"{""agentMajorVersion"":""2"",""agentMinorVersion"":""25"",""deviceClass"":""Other"",""operatingSystemMajorVersion"":null,""operatingSystemClass"":""Other"",""redactedUserAgent"":""[REDACTED]"",""agentPatch"":null,""operatingSystemMinorVersion"":null,""operatingSystemPatch"":null,""agentClass"":""Python Requests""}",POST,/api/2.0/dbfs/put,/api/2.0/dbfs/put,eastus2.azuredatabricks.net,[REDACTED],429,7758,null,238,null,14,14,null,37739bcb-f08b-443e-997c-ab139560bb83,8452665894480244,apiproxy-7d97d9f54b-qwj7z,null,2021-05-14,application/json,false
az-eastus2,apiproxy,7823c4bc-d053-4ad6-b474-a167a17dfc45,91324631909,2021-05-14T19:41:48.490+0000,52.167.226.x,"{""agentMajorVersion"":""2"",""agentMinorVersion"":""25"",""deviceClass"":""Other"",""operatingSystemMajorVersion"":null,""operatingSystemClass"":""Other"",""redactedUserAgent"":""[REDACTED]"",""agentPatch"":null,""operatingSystemMinorVersion"":null,""operatingSystemPatch"":null,""agentClass"":""Python Requests""}",POST,/api/2.0/dbfs/put,/api/2.0/dbfs/put,eastus2.azuredatabricks.net,[REDACTED],429,7466,null,238,null,13,13,null,155c6613-9a75-4f9a-9a05-376ae33a9131,8452665894480244,apiproxy-7d97d9f54b-7mvsb,null,2021-05-14,application/json,false
az-eastus2,apiproxy,2280822e-e1af-454a-bdfc-b5463e758c23,91071864492,2021-05-14T19:41:50.508+0000,52.167.226.x,"{""agentMajorVersion"":""2"",""agentMinorVersion"":""25"",""deviceClass"":""Other"",""operatingSystemMajorVersion"":null,""operatingSystemClass"":""Other"",""redactedUserAgent"":""[REDACTED]"",""agentPatch"":null,""operatingSystemMinorVersion"":null,""operatingSystemPatch"":null,""agentClass"":""Python Requests""}",POST,/api/2.0/dbfs/put,/api/2.0/dbfs/put,eastus2.azuredatabricks.net,[REDACTED],429,7250,null,238,null,15,15,null,9c769f4a-9a82-40eb-93af-e6e9f59c85de,8452665894480244,apiproxy-7d97d9f54b-7pzx9,null,2021-05-14,application/json,false
az-eastus2,apiproxy,7927d182-5f91-4ed7-a3a5-4a7fab504691,94049591845,2021-05-14T19:41:50.656+0000,52.167.226.x,"{""agentMajorVersion"":""2"",""agentMinorVersion"":""25"",""deviceClass"":""Other"",""operatingSystemMajorVersion"":null,""operatingSystemClass"":""Other"",""redactedUserAgent"":""[REDACTED]"",""agentPatch"":null,""operatingSystemMinorVersion"":null,""operatingSystemPatch"":null,""agentClass"":""Python Requests""}",POST,/api/2.0/dbfs/put,/api/2.0/dbfs/put,eastus2.azuredatabricks.net,[REDACTED],429,7270,null,238,null,14,13,null,79ba5c64-b49b-41e0-965e-5b0a8473ad56,8452665894480244,apiproxy-7d97d9f54b-wlzdn,null,2021-05-14,application/json,false
az-eastus2,apiproxy,9b701ec9-c1e0-4c77-928c-5adc6de7b9bd,91411637638,2021-05-14T19:41:50.757+0000,52.167.226.x,"{""agentMajorVersion"":""2"",""agentMinorVersion"":""25"",""deviceClass"":""Other"",""operatingSystemMajorVersion"":null,""operatingSystemClass"":""Other"",""redactedUserAgent"":""[REDACTED]"",""agentPatch"":null,""operatingSystemMinorVersion"":null,""operatingSystemPatch"":null,""agentClass"":""Python Requests""}",POST,/api/2.0/dbfs/put,/api/2.0/dbfs/put,eastus2.azuredatabricks.net,[REDACTED],429,7282,null,238,null,16,15,null,1fdfa2c8-d5f7-45bf-bd4a-d82fcff40b2f,8452665894480244,apiproxy-7d97d9f54b-2gkz2,null,2021-05-14,application/json,false
az-eastus2,apiproxy,d2d87140-7386-4c66-a78f-875148729407,49958656035,2021-05-14T19:41:50.796+0000,52.167.226.x,"{""agentMajorVersion"":""2"",""agentMinorVersion"":""25"",""deviceClass"":""Other"",""operatingSystemMajorVersion"":null,""operatingSystemClass"":""Other"",""redactedUserAgent"":""[REDACTED]"",""agentPatch"":null,""operatingSystemMinorVersion"":null,""operatingSystemPatch"":null,""agentClass"":""Python Requests""}",POST,/api/2.0/dbfs/put,/api/2.0/dbfs/put,eastus2.azuredatabricks.net,[REDACTED],429,8874,null,238,null,11,11,null,83f421af-ea0b-4b9a-bb77-07ce596dcf3b,8452665894480244,apiproxy-7d97d9f54b-hdzkf,null,2021-05-14,application/json,false
az-eastus2,apiproxy,25a4d2a0-b8cd-4aa2-9524-bea5b7c58c0e,92114474114,2021-05-14T19:41:50.832+0000,52.167.226.x,"{""agentMajorVersion"":""2"",""agentMinorVersion"":""25"",""deviceClass"":""Other"",""operatingSystemMajorVersion"":null,""operatingSystemClass"":""Other"",""redactedUserAgent"":""[REDACTED]"",""agentPatch"":null,""operatingSystemMinorVersion"":null,""operatingSystemPatch"":null,""agentClass"":""Python Requests""}",POST,/api/2.0/dbfs/put,/api/2.0/dbfs/put,eastus2.azuredatabricks.net,[REDACTED],429,14430,null,238,null,13,12,null,1332b6b1-1a31-40eb-bb37-9ebd58e3e7d5,8452665894480244,apiproxy-7d97d9f54b-vf6xv,null,2021-05-14,application/json,false
az-eastus2,apiproxy,25a4d2a0-b8cd-4aa2-9524-bea5b7c58c0e,92114507182,2021-05-14T19:41:50.872+0000,52.167.226.x,"{""agentMajorVersion"":""2"",""agentMinorVersion"":""25"",""deviceClass"":""Other"",""operatingSystemMajorVersion"":null,""operatingSystemClass"":""Other"",""redactedUserAgent"":""[REDACTED]"",""agentPatch"":null,""operatingSystemMinorVersion"":null,""operatingSystemPatch"":null,""agentClass"":""Python Requests""}",POST,/api/2.0/dbfs/put,/api/2.0/dbfs/put,eastus2.azuredatabricks.net,[REDACTED],429,7286,null,238,null,60,60,null,43a5290c-1275-47f1-8ff4-548acfc3902d,8452665894480244,apiproxy-7d97d9f54b-vf6xv,null,2021-05-14,application/json,false
az-eastus2,apiproxy,9b701ec9-c1e0-4c77-928c-5adc6de7b9bd,91411668380,2021-05-14T19:41:50.876+0000,52.167.226.x,"{""agentMajorVersion"":""2"",""agentMinorVersion"":""25"",""deviceClass"":""Other"",""operatingSystemMajorVersion"":null,""operatingSystemClass"":""Other"",""redactedUserAgent"":""[REDACTED]"",""agentPatch"":null,""operatingSystemMinorVersion"":null,""operatingSystemPatch"":null,""agentClass"":""Python Requests""}",POST,/api/2.0/dbfs/put,/api/2.0/dbfs/put,eastus2.azuredatabricks.net,[REDACTED],429,22090,null,238,null,53,53,null,696d922f-9632-4760-a449-e17fb255d8e6,8452665894480244,apiproxy-7d97d9f54b-2gkz2,null,2021-05-14,application/json,false
az-eastus2,apiproxy,25a4d2a0-b8cd-4aa2-9524-bea5b7c58c0e,92114512178,2021-05-14T19:41:50.935+0000,52.167.226.x,"{""agentMajorVersion"":""2"",""agentMinorVersion"":""25"",""deviceClass"":""Other"",""operatingSystemMajorVersion"":null,""operatingSystemClass"":""Other"",""redactedUserAgent"":""[REDACTED]"",""agentPatch"":null,""operatingSystemMinorVersion"":null,""operatingSystemPatch"":null,""agentClass"":""Python Requests""}",POST,/api/2.0/dbfs/put,/api/2.0/dbfs/put,eastus2.azuredatabricks.net,[REDACTED],429,21650,null,238,null,13,13,null,e2eeff84-3fff-4c2a-9604-5661be8ffddd,8452665894480244,apiproxy-7d97d9f54b-vf6xv,null,2021-05-14,application/json,false
az-eastus2,apiproxy,9b701ec9-c1e0-4c77-928c-5adc6de7b9bd,91411964983,2021-05-14T19:41:52.143+0000,52.167.226.x,"{""agentMajorVersion"":""2"",""agentMinorVersion"":""25"",""deviceClass"":""Other"",""operatingSystemMajorVersion"":null,""operatingSystemClass"":""Other"",""redactedUserAgent"":""[REDACTED]"",""agentPatch"":null,""operatingSystemMinorVersion"":null,""operatingSystemPatch"":null,""agentClass"":""Python Requests""}",POST,/api/2.0/dbfs/put,/api/2.0/dbfs/put,eastus2.azuredatabricks.net,[REDACTED],429,7270,null,238,null,11,10,null,a0937fef-8960-4ed6-8505-622e98303096,8452665894480244,apiproxy-7d97d9f54b-2gkz2,null,2021-05-14,application/json,false
az-eastus2,apiproxy,f8991381-b6f9-4bbf-956e-e39b05641afe,94234790553,2021-05-14T19:41:53.025+0000,52.167.226.x,"{""agentMajorVersion"":""2"",""agentMinorVersion"":""25"",""deviceClass"":""Other"",""operatingSystemMajorVersion"":null,""operatingSystemClass"":""Other"",""redactedUserAgent"":""[REDACTED]"",""agentPatch"":null,""operatingSystemMinorVersion"":null,""operatingSystemPatch"":null,""agentClass"":""Python Requests""}",POST,/api/2.0/dbfs/put,/api/2.0/dbfs/put,eastus2.azuredatabricks.net,[REDACTED],429,7298,null,238,null,19,19,null,32d1816b-ba4b-480b-a223-df252755419c,8452665894480244,apiproxy-7d97d9f54b-h2z6l,null,2021-05-14,application/json,false
az-eastus2,apiproxy,25a4d2a0-b8cd-4aa2-9524-bea5b7c58c0e,92115141526,2021-05-14T19:41:53.312+0000,52.167.226.x,"{""agentMajorVersion"":""2"",""agentMinorVersion"":""25"",""deviceClass"":""Other"",""operatingSystemMajorVersion"":null,""operatingSystemClass"":""Other"",""redactedUserAgent"":""[REDACTED]"",""agentPatch"":null,""operatingSystemMinorVersion"":null,""operatingSystemPatch"":null,""agentClass"":""Python Requests""}",POST,/api/2.0/dbfs/put,/api/2.0/dbfs/put,eastus2.azuredatabricks.net,[REDACTED],429,7430,null,238,null,60,60,null,6775435a-4e7c-493c-bbf9-d1b1759d395f,8452665894480244,apiproxy-7d97d9f54b-vf6xv,null,2021-05-14,application/json,false
az-eastus2,apiproxy,25a4d2a0-b8cd-4aa2-9524-bea5b7c58c0e,92115142703,2021-05-14T19:41:53.314+0000,52.167.226.x,"{""agentMajorVersion"":""2"",""agentMinorVersion"":""25"",""deviceClass"":""Other"",""operatingSystemMajorVersion"":null,""operatingSystemClass"":""Other"",""redactedUserAgent"":""[REDACTED]"",""agentPatch"":null,""operatingSystemMinorVersion"":null,""operatingSystemPatch"":null,""agentClass"":""Python Requests""}",POST,/api/2.0/dbfs/put,/api/2.0/dbfs/put,eastus2.azuredatabricks.net,[REDACTED],429,14754,null,238,null,58,58,null,1d9ea6cc-a5a0-4a87-b595-5645ee368b7f,8452665894480244,apiproxy-7d97d9f54b-vf6xv,null,2021-05-14,application/json,false
az-eastus2,apiproxy,9b701ec9-c1e0-4c77-928c-5adc6de7b9bd,91412319061,2021-05-14T19:41:53.503+0000,52.167.226.x,"{""agentMajorVersion"":""2"",""agentMinorVersion"":""25"",""deviceClass"":""Other"",""operatingSystemMajorVersion"":null,""operatingSystemClass"":""Other"",""redactedUserAgent"":""[REDACTED]"",""agentPatch"":null,""operatingSystemMinorVersion"":null,""operatingSystemPatch"":null,""agentClass"":""Python Requests""}",POST,/api/2.0/dbfs/put,/api/2.0/dbfs/put,eastus2.azuredatabricks.net,[REDACTED],429,7278,null,238,null,12,11,null,b3ebf8b1-fae6-4d7f-b27c-42639a4b759b,8452665894480244,apiproxy-7d97d9f54b-2gkz2,null,2021-05-14,application/json,false
az-eastus2,apiproxy,f8991381-b6f9-4bbf-956e-e39b05641afe,94235075527,2021-05-14T19:41:54.161+0000,52.167.226.x,"{""agentMajorVersion"":""2"",""agentMinorVersion"":""25"",""deviceClass"":""Other"",""operatingSystemMajorVersion"":null,""operatingSystemClass"":""Other"",""redactedUserAgent"":""[REDACTED]"",""agentPatch"":null,""operatingSystemMinorVersion"":null,""operatingSystemPatch"":null,""agentClass"":""Python Requests""}",POST,/api/2.0/dbfs/put,/api/2.0/dbfs/put,eastus2.azuredatabricks.net,[REDACTED],429,14774,null,238,null,14,14,null,1b40aa0e-a2b0-4091-a911-5f5fcc76363c,8452665894480244,apiproxy-7d97d9f54b-h2z6l,null,2021-05-14,application/json,false
